Datetime,Lat,Lon,Battery,bHead,Wspd,Wdir,Gust,Atmp,Pres,Dewp,Humi,Wtmp,Cvel1,Cdir1,Cvel2,Cdir2,Cvel3,Cdir3,Wvht,Wmax,Dpd,Mwd,Spread
2017-01-01 00:00:00,-3.21,-38.43,12.63,166.00,10.53,93.11,12.84,23.96,1010.33,23.96,80.19,-6656.81,324.99,317.22,316.06,318.44,324.63,317.44,1.96,3.28,13.63,44.11,30.98
2017-01-01 03:00:00,-3.21,-38.43,12.59,171.78,9.57,106.56,11.57,24.08,1009.66,24.08,81.53,-9999.00,245.21,297.67,250.86,300.33,238.96,298.89,2.06,3.37,13.38,53.44,30.77
2017-01-01 06:00:00,-3.21,-38.43,12.53,171.89,9.09,109.44,11.01,24.00,1009.18,24.00,81.03,-8884.94,336.87,276.44,366.70,278.22,355.88,277.78,2.11,3.36,14.34,53.44,31.47
2017-01-01 09:00:00,-3.21,-38.43,13.23,179.44,9.51,116.33,11.46,24.06,1010.41,24.06,80.14,-1086.50,391.07,284.33,419.54,286.56,405.29,285.33,2.15,3.51,13.99,54.56,32.43
2017-01-01 12:00:00,-3.21,-38.43,13.58,192.00,8.84,127.67,11.10,24.00,1011.25,24.00,79.46,27.61,384.32,301.67,378.03,302.56,354.46,302.11,2.14,3.58,13.70,54.89,31.34
2017-01-01 15:00:00,-3.21,-38.43,13.60,195.11,7.87,133.78,9.51,23.79,1010.03,23.79,78.72,27.71,369.08,299.78,344.15,297.56,310.71,295.44,2.12,3.63,14.01,51.56,30.63
2017-01-01 18:00:00,-3.21,-38.43,13.53,174.78,7.53,110.11,8.96,23.82,1008.58,23.82,79.21,27.75,360.43,286.56,355.12,283.56,308.34,284.67,1.98,3.32,14.20,50.56,29.76
2017-01-01 21:00:00,-3.21,-38.43,12.81,152.33,7.63,78.78,9.19,24.34,1009.57,24.34,81.69,27.68,368.11,278.00,367.37,281.00,354.49,282.44,1.87,2.96,13.86,44.78,29.34
2017-01-02 00:00:00,-3.21,-38.43,12.63,151.67,8.29,76.89,9.80,24.53,1011.09,24.53,82.53,27.62,316.02,287.44,296.89,291.78,291.99,290.67,1.88,2.90,13.08,44.78,30.63
2017-01-02 03:00:00,-3.21,-38.43,12.60,142.33,8.23,67.89,9.87,24.71,1010.56,24.71,85.94,27.62,313.29,278.00,299.32,283.56,302.24,281.22,1.95,3.09,11.80,53.11,31.06
