time,VHM0_WW,latitude,VMDR_SW2,VMDR,VMDR_SW1,VTM10,VPED,VTPK,VTM02,VHM0_SW1,VMDR_WW,VTM01_SW2,VSDX,VTM01_SW1,VSDY,VHM0,VTM01_WW,longitude,VHM0_SW2
2017-01-01 00:00:00,1.13,-3.20,107.45,38.79,349.64,9.92,352.50,15.53,5.85,1.40,86.51,7.41,-0.11,14.25,-0.02,2.10,4.07,-38.40,0.91
2017-01-01 03:00:00,1.39,-3.20,98.94,42.03,351.74,9.66,352.50,15.72,5.78,1.52,93.88,9.00,-0.13,13.06,0.00,2.22,4.50,-38.40,0.59
2017-01-01 06:00:00,1.36,-3.20,100.77,46.58,352.55,9.62,352.50,15.75,5.93,1.57,99.14,8.30,-0.12,12.96,0.01,2.31,4.47,-38.40,0.80
2017-01-01 09:00:00,1.24,-3.20,100.03,47.67,353.24,9.69,352.50,15.63,6.04,1.58,102.91,8.15,-0.12,12.94,0.01,2.31,4.34,-38.40,0.93
2017-01-01 12:00:00,0.90,-3.20,93.49,45.55,353.99,9.80,352.50,15.42,6.14,1.57,109.44,6.50,-0.10,12.83,0.02,2.25,3.71,-38.40,1.34
2017-01-01 15:00:00,0.69,-3.20,93.92,42.16,354.76,9.91,352.50,15.04,6.19,1.54,118.63,6.29,-0.09,12.64,0.02,2.16,3.25,-38.40,1.33
2017-01-01 18:00:00,0.60,-3.20,95.34,38.19,355.50,10.08,352.50,14.83,6.29,1.54,111.24,6.32,-0.09,12.51,0.02,2.09,3.06,-38.40,1.27
2017-01-01 21:00:00,0.71,-3.20,85.43,33.36,355.57,10.10,352.50,14.67,6.15,1.50,77.36,16.63,-0.09,12.18,-0.02,2.02,3.27,-38.40,1.00
2017-01-02 00:00:00,0.86,-3.20,104.03,31.52,356.56,9.92,352.50,14.61,5.99,1.54,70.35,6.73,-0.10,11.80,-0.04,2.03,3.54,-38.40,1.00
2017-01-02 03:00:00,0.82,-3.20,103.21,34.01,356.10,9.58,352.50,14.44,5.95,1.50,80.28,6.86,-0.10,11.97,-0.03,2.04,3.51,-38.40,1.00
2017-01-02 06:00:00,0.84,-3.20,103.84,39.33,356.28,9.12,352.50,14.07,5.82,1.43,88.94,7.01,-0.10,11.43,-0.02,2.00,3.59,-38.40,1.01
2017-01-02 09:00:00,0.73,-3.20,77.91,43.26,356.55,8.93,278.90,13.72,5.81,1.37,94.81,15.27,-0.10,11.10,-0.01,1.99,3.36,-38.40,1.05
2017-01-02 12:00:00,0.63,-3.20,26.55,45.07,356.18,8.81,278.90,13.60,5.77,1.28,108.73,15.69,-0.09,10.60,0.01,1.93,3.13,-38.40,0.65
2017-01-02 15:00:00,0.71,-3.20,93.34,47.72,358.58,8.56,7.50,13.24,5.61,1.30,111.23,6.22,-0.09,10.58,0.02,1.86,3.28,-38.40,1.12
2017-01-02 18:00:00,0.55,-3.20,356.64,47.44,5.66,8.45,7.50,12.90,5.62,1.06,97.45,9.41,-0.08,10.69,0.00,1.78,2.93,-38.40,0.82
2017-01-02 21:00:00,0.58,-3.20,356.62,45.90,6.49,8.35,7.50,12.57,5.54,1.02,84.13,9.33,-0.08,10.40,-0.01,1.72,2.99,-38.40,0.80
2017-01-03 00:00:00,0.61,-3.20,102.17,44.56,359.56,8.20,7.50,12.29,5.43,1.18,74.47,6.30,-0.08,9.91,-0.02,1.68,3.03,-38.40,1.00
2017-01-03 03:00:00,0.73,-3.20,101.99,46.53,359.93,8.00,7.50,11.32,5.32,1.17,77.00,6.52,-0.09,9.88,-0.03,1.72,3.28,-38.40,0.98
2017-01-03 06:00:00,0.64,-3.20,92.11,47.84,0.09,7.99,7.50,11.20,5.40,1.18,80.80,5.93,-0.09,9.98,-0.02,1.77,3.14,-38.40,1.14
2017-01-03 09:00:00,0.54,-3.20,0.26,48.20,89.63,8.00,7.50,8.65,5.45,1.18,94.75,9.89,-0.08,5.82,-0.01,1.75,2.91,-38.40,1.17
2017-01-03 12:00:00,0.67,-3.20,87.82,50.37,0.53,7.88,7.50,8.99,5.35,1.16,105.57,6.09,-0.09,9.74,0.00,1.75,3.20,-38.40,1.11
2017-01-03 15:00:00,0.55,-3.20,91.69,49.75,0.91,7.85,7.50,9.21,5.37,1.14,104.08,5.92,-0.08,9.50,0.00,1.69,2.91,-38.40,1.11
2017-01-03 18:00:00,0.65,-3.20,96.12,48.79,1.48,7.75,7.50,9.23,5.27,1.14,86.13,5.98,-0.09,9.35,-0.01,1.67,3.15,-38.40,1.04
2017-01-03 21:00:00,0.60,-3.20,99.21,46.58,1.85,7.68,7.50,9.15,5.21,1.11,85.04,6.20,-0.08,9.21,-0.02,1.61,3.05,-38.40,0.95
2017-01-04 00:00:00,0.51,-3.20,76.44,44.75,2.35,7.61,7.50,9.02,5.15,1.04,78.67,12.86,-0.08,8.87,-0.02,1.52,2.81,-38.40,0.87
2017-01-04 03:00:00,0.49,-3.20,76.45,44.30,2.77,7.54,7.50,8.96,5.09,1.00,73.66,12.87,-0.07,8.82,-0.02,1.46,2.78,-38.40,0.83
2017-01-04 06:00:00,0.77,-3.20,87.54,48.25,3.61,7.14,7.50,8.87,4.77,0.97,77.50,12.94,-0.09,8.69,-0.03,1.47,3.37,-38.40,0.65
